LF,flow_x,flow_y,flow_z,parcel_size,dom_x,dom_y,dom_z,quads,rk_order,ftts,cost,rho
lf-1/lf167,64,32,32,10,32,8,8,86,4,3,13286.507,0.9021660417
lf-1/lf168,64,32,32,10,32,8,8,50,4,3,13413.811,0.8687406105
lf-1/lf169,64,32,32,10,0,0,0,0,4,3,11104.111,0.8718875133
lf-1/lf170,64,32,16,100,64,16,16,86,4,3,14539.916,0.9090527953
lf-1/lf171,64,32,16,100,64,16,16,50,4,3,19587.847,0.9118474067
lf-1/lf172,64,32,16,100,64,16,8,86,4,3,14123.489,0.9179781683
lf-1/lf173,64,32,16,100,64,16,8,50,4,3,14275.087,0.9392271751
lf-1/lf174,64,32,16,100,64,8,16,86,4,3,14177.245,0.9162190859
lf-1/lf175,64,32,16,100,64,8,16,50,4,3,14096.789,0.9016403717
lf-1/lf176,64,32,16,100,64,8,8,86,4,3,14284.227,0.9003537023
lf-1/lf177,64,32,16,100,64,8,8,50,4,3,14347.86,0.8964105304
lf-1/lf178,64,32,16,100,32,16,16,86,4,3,13731.857,0.8953866232
lf-1/lf179,64,32,16,100,32,16,16,50,4,3,13695.821,0.8758132338
lf-1/lf180,64,32,16,100,32,16,8,86,4,3,13515.943,0.9306001596
lf-1/lf181,64,32,16,100,32,16,8,50,4,3,13332.232,0.9297372644
lf-1/lf182,64,32,16,100,32,8,16,86,4,3,13253.566,0.9006125979
lf-1/lf183,64,32,16,100,32,8,16,50,4,3,14850.186,0.8794567631
lf-1/lf184,64,32,16,100,32,8,8,86,4,3,12798.309,0.920269506
lf-1/lf185,64,32,16,100,32,8,8,50,4,3,12936.968,0.9277169359
lf-1/lf186,64,32,16,100,0,0,0,0,4,3,10504.556,0.9275402627
lf-1/lf187,64,32,16,10,64,16,16,86,4,3,14537.25,0.9311764119
lf-1/lf188,64,32,16,10,64,16,16,50,4,3,15771.134,0.9015038213
lf-1/lf189,64,32,16,10,64,16,8,86,4,3,13934.571,0.919236957
lf-1/lf190,64,32,16,10,64,16,8,50,4,3,14518.675,0.895802365
lf-1/lf191,64,32,16,10,64,8,16,86,4,3,14150.341,0.9481774668
lf-1/lf192,64,32,16,10,64,8,16,50,4,3,14640.355,0.9217388934
lf-1/lf193,64,32,16,10,64,8,8,86,4,3,14501.793,0.9333968626
lf-1/lf194,64,32,16,10,64,8,8,50,4,3,14303.638,0.9169239505
lf-1/lf195,64,32,16,10,32,16,16,86,4,3,13504.707,0.9296656234
lf-1/lf196,64,32,16,10,32,16,16,50,4,3,13626.8,0.9186502125
